what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970357811
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970397280
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263970502124
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1263970512405
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970522296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970528093
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263970528218
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263970528296
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1263970541249
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970543749
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970546608
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263970546811
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263970546968
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1263970550390
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1263970552436
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263970555280
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1263970557686
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1263970559546
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1263970560874
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263970564436
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1263970565640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970567233
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970567249
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970567311
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263970573905
