what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978697037
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978699740
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1263978700147
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1263978701944
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1263978702240
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1263978711256
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978713709
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978720287
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263978720490
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263978720834
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1263978723678
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1263978731334
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263978738162
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1263978743428
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978746662
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978747444
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1263978747444
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978752444
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978753162
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1263978753162
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978756990
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263978758522
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1263978758615
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1263978762475
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263978762975
